Lemma,SFI rank,Standard Frequency Index,Adjusted Frequency per Million,,,,,,,,,,,,,,,,,
the,1,87.85,60910,,,,,,,,,,,,,,,,,
though,227,66.34,430,,,,,,,,,,,,,,,,,
yes,228,66.33,430,yeses,,,,,,,,,,,,,,,,
love,229,66.30,427,loves,loved,loving,,,,,,,,,,,,,,
increase,230,66.28,425,increases,increased,increasing,,,,,,,,,,,,,,
job,231,66.28,425,jobs,jobbing,,,,,,,,,,,,,,,
plan,232,66.28,425,plans,planned,planning,,,,,,,,,,,,,,
result,233,66.27,424,results,resulted,resulting,,,,,,,,,,,,,,
away,234,66.27,424,,,,,,,,,,,,,,,,,
example,235,66.24,420,examples,,,,,,,,,,,,,,,,
happen,236,66.23,420,happens,happened,happening,happenings,,,,,,,,,,,,,
offer,237,66.21,418,offers,offered,offering,offerings,,,,,,,,,,,,,
young,238,66.20,417,younger,youngest,,,,,,,,,,,,,,,
close,239,66.19,416,closes,closed,closing,closer,closest,,,,,,,,,,,,
program,240,66.17,414,programs,programmed,programming,programme,programmes,programed,programing,,,,,,,,,,
lead,241,66.13,410,leads,led,leading,,,,,,,,,,,,,,
buy,242,66.07,405,buys,bought,buying,,,,,,,,,,,,,,
understand,243,66.05,403,understands,understood,understanding,understandings,,,,,,,,,,,,,
thank,244,66.01,399,thanks,thanked,thanking,,,,,,,,,,,,,,
far,245,66.00,398,farther,farthest,,,,,,,,,,,,,,,
today,246,65.94,392,,,,,,,,,,,,,,,,,
hour,247,65.93,391,hours,,,,,,,,,,,,,,,,
student,248,65.92,391,students,,,,,,,,,,,,,,,,
face,249,65.91,390,faces,faced,facing,,,,,,,,,,,,,,
hope,250,65.89,388,hopes,hoped,hoping,,,,,,,,,,,,,,
idea,251,65.87,387,ideas,,,,,,,,,,,,,,,,
cost,252,65.86,386,costs,costing,,,,,,,,,,,,,,,
less,253,65.86,385,,,,,,,,,,,,,,,,,
room,254,65.85,385,rooms,roomed,rooming,,,,,,,,,,,,,,
until,255,65.83,383,til,,,,,,,,,,,,,,,,
reason,256,65.83,383,reasons,reasoned,reasoning,,,,,,,,,,,,,,
form,257,65.79,379,forms,formed,forming,,,,,,,,,,,,,,
spend,258,65.78,378,spends,spending,spent,,,,,,,,,,,,,,
head,259,65.77,378,heads,headed,heading,headings,,,,,,,,,,,,,
car,260,65.77,377,cars,,,,,,,,,,,,,,,,
learn,261,65.74,375,learns,learned,learning,learnt,,,,,,,,,,,,,
level,262,65.71,373,levels,leveled,leveling,levelled,levelling,,,,,,,,,,,,
person,263,65.66,368,persons,,,,,,,,,,,,,,,,
experience,264,65.63,365,experiences,experienced,experiencing,,,,,,,,,,,,,,
once,265,65.62,365,,,,,,,,,,,,,,,,,
member,266,65.61,364,members,,,,,,,,,,,,,,,,
enough,267,65.60,363,,,,,,,,,,,,,,,,,
bad,268,65.59,363,worse,worst,baddest,,,,,,,,,,,,,,
city,269,65.59,362,cities,,,,,,,,,,,,,,,,
night,270,65.58,361,nights,,,,,,,,,,,,,,,,
